##Cardinal numerals in Komi 1-999 999 999
##For OAHPA numira
##The Komi orthography utilizes the empty space in several places
###Single digits
1,ӧти
2,кык
3,куим
4,нёль
5,вит
6,квайт
7,сизим
8,кӧкъямыс
9,ӧкмыс
###Double digits
##The tens are written as orthographic words
##дас, кызь, комын...
##The tens and subsequent ones are separated by an empty space
10,дас
#11,дас ӧти
#12,дас кык
#13,дас куим
#14,дас нёль
#15,дас вит
#16,дас квайт
#17,дас сизим
#18,дас кӧкъямыс
#19,дас ӧкмыс
20,кызь
#22,кызь кык
30,комын
40,нелямын
50,ветымын
60,квайтымын
70,сизимдас
80,кӧкъямысдас
90,ӧкмысдас
### 3-digit numerals
##The hundreds are written as orthographic words
##сё, кыксё, куимсё...
##The hundreds and subsequent tens or ones are separated by an empty space
100,сё
#101,сё ӧти
200,кыксё
300,куимсё
400,нёльсё
500,витсё
600,квайтсё
700,сизимсё
800,кӧкъямыссё
900,ӧкмыссё
### 4-digit
##The thousands are written separately
1000,сюрс
2000,кык сюрс
100000,сё сюрс
###7-digit numerals
##The millions are written separately
1000000,миллион
2000000,кык миллион


